Ano;Período;Salário Mínimo Nominal;Salário Mínimo Necessário
2025;Março;R$ 1.518,00;R$ 7.398,94
2025;Fevereiro;R$ 1.518,00;R$ 7.229,32
2025;Janeiro;R$ 1.518,00;R$ 7.156,15
2024;Dezembro;R$ 1.412,00;R$ 7.067,68
2024;Novembro;R$ 1.412,00;R$ 6.959,31
2024;Outubro;R$ 1.412,00;R$ 6.769,87
2024;Setembro;R$ 1.412,00;R$ 6.657,55
2024;Agosto;R$ 1.412,00;R$ 6.606,13
2024;Julho;R$ 1.412,00;R$ 6.802,88
2024;Junho;R$ 1.412,00;R$ 6.995,44
2024;Maio;R$ 1.412,00;R$ 6.946,37
2024;Abril;R$ 1.412,00;R$ 6.912,69
2024;Março;R$ 1.412,00;R$ 6.832,20
2024;Fevereiro;R$ 1.412,00;R$ 6.996,36
2024;Janeiro;R$ 1.412,00;R$ 6.723,41
2023;Dezembro;R$ 1.320,00;R$ 6.439,62
2023;Novembro;R$ 1.320,00;R$ 6.294,71
2023;Outubro;R$ 1.320,00;R$ 6.210,11
2023;Setembro;R$ 1.320,00;R$ 6.280,93
2023;Agosto;R$ 1.320,00;R$ 6.389,72
2023;Julho;R$ 1.320,00;R$ 6.528,93
2023;Junho;R$ 1.320,00;R$ 6.578,41
2023;Maio;R$ 1.320,00;R$ 6.652,09
2023;Abril;R$ 1.302,00;R$ 6.676,11
2023;Março;R$ 1.302,00;R$ 6.571,52
2023;Fevereiro;R$ 1.302,00;R$ 6.547,58
2023;Janeiro;R$ 1.302,00;R$ 6.641,58
2022;Dezembro;R$ 1.212,00;R$ 6.647,63
2022;Novembro;R$ 1.212,00;R$ 6.575,30
2022;Outubro;R$ 1.212,00;R$ 6.458,86
2022;Setembro;R$ 1.212,00;R$ 6.306,97
2022;Agosto;R$ 1.212,00;R$ 6.298,91
2022;Julho;R$ 1.212,00;R$ 6.388,55
2022;Junho;R$ 1.212,00;R$ 6.527,67
2022;Maio;R$ 1.212,00;R$ 6.535,40
2022;Abril;R$ 1.212,00;R$ 6.754,33
2022;Março;R$ 1.212,00;R$ 6.394,76
2022;Fevereiro;R$ 1.212,00;R$ 6.012,18
2022;Janeiro;R$ 1.212,00;R$ 5.997,14
2021;Dezembro;R$ 1.100,00;R$ 5.800,98
2021;Novembro;R$ 1.100,00;R$ 5.969,17
2021;Outubro;R$ 1.100,00;R$ 5.886,50
2021;Setembro;R$ 1.100,00;R$ 5.657,66
2021;Agosto;R$ 1.100,00;R$ 5.583,90
2021;Julho;R$ 1.100,00;R$ 5.518,79
