Ano;Período;Salário Mínimo Nominal;Salário Mínimo Necessário
2025;Março;1518.0;7398.94
2025;Fevereiro;1518.0;7229.32
2025;Janeiro;1518.0;7156.15
2024;Dezembro;1412.0;7067.68
2024;Novembro;1412.0;6959.31
2024;Outubro;1412.0;6769.87
2024;Setembro;1412.0;6657.55
2024;Agosto;1412.0;6606.13
2024;Julho;1412.0;6802.88
2024;Junho;1412.0;6995.44
2024;Maio;1412.0;6946.37
2024;Abril;1412.0;6912.69
2024;Março;1412.0;6832.2
2024;Fevereiro;1412.0;6996.36
2024;Janeiro;1412.0;6723.41
2023;Dezembro;1320.0;6439.62
2023;Novembro;1320.0;6294.71
2023;Outubro;1320.0;6210.11
2023;Setembro;1320.0;6280.93
2023;Agosto;1320.0;6389.72
2023;Julho;1320.0;6528.93
2023;Junho;1320.0;6578.41
2023;Maio;1320.0;6652.09
2023;Abril;1302.0;6676.11
2023;Março;1302.0;6571.52
2023;Fevereiro;1302.0;6547.58
2023;Janeiro;1302.0;6641.58
2022;Dezembro;1212.0;6647.63
2022;Novembro;1212.0;6575.3
2022;Outubro;1212.0;6458.86
2022;Setembro;1212.0;6306.97
2022;Agosto;1212.0;6298.91
2022;Julho;1212.0;6388.55
2022;Junho;1212.0;6527.67
2022;Maio;1212.0;6535.4
2022;Abril;1212.0;6754.33
2022;Março;1212.0;6394.76
2022;Fevereiro;1212.0;6012.18
2022;Janeiro;1212.0;5997.14
2021;Dezembro;1100.0;5800.98
2021;Novembro;1100.0;5969.17
2021;Outubro;1100.0;5886.5
2021;Setembro;1100.0;5657.66
2021;Agosto;1100.0;5583.9
2021;Julho;1100.0;5518.79
2021;Junho;1100.0;5421.84
2021;Maio;1100.0;5351.11
2021;Abril;1100.0;5330.69
2021;Março;1100.0;5315.74
2021;Fevereiro;1100.0;5375.05
2021;Janeiro;1100.0;5495.52
2020;Dezembro;1045.0;5304.9
2020;Novembro;1045.0;5289.53
2020;Outubro;1045.0;5005.91
2020;Setembro;1045.0;4892.75
2020;Agosto;1045.0;4536.12
2020;Julho;1045.0;4420.11
2020;Junho;1045.0;4595.6
2020;Maio;1045.0;4694.57
2020;Abril;1045.0;4673.06
2020;Março;1045.0;4483.2
2020;Fevereiro;1045.0;4366.51
2020;Janeiro;1039.0;4347.61
2019;Dezembro;998.0;4342.57
2019;Novembro;998.0;4021.39
2019;Outubro;998.0;3978.63
2019;Setembro;998.0;3980.82
2019;Agosto;998.0;4044.58
2019;Julho;998.0;4143.55
2019;Junho;998.0;4214.62
2019;Maio;998.0;4259.9
2019;Abril;998.0;4385.75
2019;Março;998.0;4277.04
2019;Fevereiro;998.0;4052.65
2019;Janeiro;998.0;3928.73
2018;Dezembro;954.0;3960.57
2018;Novembro;954.0;3959.98
2018;Outubro;954.0;3783.39
2018;Setembro;954.0;3658.39
2018;Agosto;954.0;3636.04
2018;Julho;954.0;3674.77
2018;Junho;954.0;3804.06
2018;Maio;954.0;3747.1
2018;Abril;954.0;3696.95
2018;Março;954.0;3706.44
2018;Fevereiro;954.0;3682.67
2018;Janeiro;954.0;3752.65
2017;Dezembro;937.0;3585.05
2017;Novembro;937.0;3731.39
2017;Outubro;937.0;3754.16
2017;Setembro;937.0;3668.55
2017;Agosto;937.0;3744.83
2017;Julho;937.0;3810.36
2017;Junho;937.0;3727.19
2017;Maio;937.0;3869.92
2017;Abril;937.0;3899.66
2017;Março;937.0;3673.09
2017;Fevereiro;937.0;3658.72
2017;Janeiro;937.0;3811.29
2016;Dezembro;880.0;3856.23
2016;Novembro;880.0;3940.41
2016;Outubro;880.0;4016.27
2016;Setembro;880.0;4013.08
2016;Agosto;880.0;3991.4
2016;Julho;880.0;3992.75
2016;Junho;880.0;3940.24
2016;Maio;880.0;3777.93
2016;Abril;880.0;3716.77
2016;Março;880.0;3736.26
2016;Fevereiro;880.0;3725.01
2016;Janeiro;880.0;3795.24
2015;Dezembro;788.0;3518.51
2015;Novembro;788.0;3399.22
2015;Outubro;788.0;3210.28
2015;Setembro;788.0;3240.27
2015;Agosto;788.0;3258.16
2015;Julho;788.0;3325.37
2015;Junho;788.0;3299.66
2015;Maio;788.0;3377.62
2015;Abril;788.0;3251.61
2015;Março;788.0;3186.92
2015;Fevereiro;788.0;3182.81
2015;Janeiro;788.0;3118.62
2014;Dezembro;724.0;2975.55
2014;Novembro;724.0;2923.22
2014;Outubro;724.0;2967.07
2014;Setembro;724.0;2862.73
2014;Agosto;724.0;2861.55
2014;Julho;724.0;2915.07
2014;Junho;724.0;2979.25
2014;Maio;724.0;3079.31
2014;Abril;724.0;3019.07
2014;Março;724.0;2992.19
2014;Fevereiro;724.0;2778.63
2014;Janeiro;724.0;2748.22
2013;Dezembro;678.0;2765.44
2013;Novembro;678.0;2761.58
2013;Outubro;678.0;2729.24
2013;Setembro;678.0;2621.7
2013;Agosto;678.0;2685.47
2013;Julho;678.0;2750.83
2013;Junho;678.0;2860.21
2013;Maio;678.0;2873.56
2013;Abril;678.0;2892.47
2013;Março;678.0;2824.92
2013;Fevereiro;678.0;2743.69
